date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,top_10_holders_pct,top_5_holders_pct,holder_concentration,concentration_risk,volume_7d_avg,volume_change_pct,volume_spike,pv_divergence,liquidity_3d_trend,security_score,mint_authority,freeze_authority,liquidity_locked,risk_level,risk_count
2025-11-11,wSOL,Wrapped SOL,So11111111111111111111111111111111111111112,160.57,259213955.35,45498809.14,0.0,dexscreener,ok,0,0.0,0.0,unknown,unknown,291824071.0528571,-11.17,normal,none,down,100.0,False,False,True,low,0
2025-11-11,HAROLD,Harold,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.003595,57736.4,473659.85,3595259.0,dexscreener,ok,0,64.52,54.43,medium,medium,23817.28857142857,142.41,spike,none,down,95.0,False,False,True,low,2
2025-11-11,LION,Loaded Lions,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,0.008971,20498.62,1351348.37,44857640.0,dexscreener,ok,0,57.84,32.05,low,low,34730.258571428574,-40.98,normal,none,down,85.0,False,False,True,low,3
2025-11-11,1nu,1nu,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,8.428e-05,17882.07,39407.46,84281.0,dexscreener,ok,0,42.18,32.71,low,low,45676.03428571428,-60.85,normal,none,stable,100.0,False,False,True,low,0
2025-11-11,DREAM,Dreamsync,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.0006812,8820.46,102857.42,681283.0,dexscreener,ok,0,33.24,19.78,low,low,100893.71999999999,-91.26,normal,none,down,100.0,False,False,True,low,0
2025-11-11,RAGEGUY,Rage Guy,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,0.0003815,6157.83,85564.23,381491.0,dexscreener,ok,0,31.32,22.36,low,low,59944.25,-89.73,normal,none,down,100.0,False,False,True,low,0
2025-11-11,1,1 pill can change your life,qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,8.233e-06,2820.15,9758.74,8231.0,dexscreener,ok,0,81.36,72.39,high,high,1408.2842857142857,100.25,spike,none,stable,90.0,False,False,True,low,0
2025-11-11,AUSBAGWORK,AUSSIE BAG WORKERS,9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,1.066e-05,2074.83,13540.58,10661.0,dexscreener,ok,0,91.06,85.07,high,high,1217.8514285714284,70.37,elevated,none,down,85.0,False,False,True,low,0
2025-11-11,AI4,AI⁴,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,0.0001734,1653.99,72524.94,173446.0,dexscreener,ok,0,54.68,42.51,low,low,101838.87285714287,-98.38,normal,none,down,95.0,False,False,True,low,0
2025-11-11,19,Cult of 19,8AgJibpuXYU79bMSzhBv9BCUioxYkoeRVDYz3Tjopump,4.199e-06,1442.53,6937.62,4191.0,dexscreener,ok,0,98.53,96.61,critical,extreme,1898.1233333333337,-24.0,normal,none,down,80.0,False,False,True,low,1
2025-11-11,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,3.066e-05,1169.58,24061.9,30660.0,dexscreener,ok,0,56.24,47.9,low,low,5975.412857142857,-80.43,normal,none,up,95.0,False,False,True,low,0
2025-11-11,1,1 pill can change your life,8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,5.428e-06,536.79,8814.29,5424.0,dexscreener,ok,0,95.21,91.74,critical,extreme,1436.845714285714,-62.64,normal,none,stable,80.0,False,False,True,low,0
2025-11-11,1Bull,One bull run to change your life,EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,7.286e-06,471.99,9465.31,7285.0,dexscreener,ok,0,84.18,77.53,high,high,3944.0142857142855,-88.03,normal,none,down,90.0,False,False,True,low,1
