address,symbol,name,date,current_top10_pct,current_top5_pct,trend_7d,slope_7d,velocity_pct_per_day,volatility_7d,concentration_risk,days_analyzed
14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,DETECTIVE,Just can't prove it,2025-10-07,65.7,56.89,increasing,5.59,3.42,,high,6
2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,PILL,Getpilled,2025-10-07,97.67,96.57,stable,0.065,0.02,,extreme,6
2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,NeverDie,MEMES WILL NEVER DIE,2025-10-05,99.63,0.0,stable,0.0,0.0,,extreme,4
2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,T-2049,Token 2049,2025-10-07,57.95,52.99,stable,-0.5,-0.28,,medium,6
2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,67,67coin,2025-10-07,52.42,42.91,increasing,2.58,1.82,,medium,6
3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,walkusa,WALKING ACROSS AMERICA,2025-10-07,47.9,38.08,increasing,0.885,0.64,,medium,6
3hiutVNCbwCY1vmoPKdXtMtuzg4epn1WzuU1jgpHpump,Gaming,Gaming Cult,2025-10-06,99.97,0.0,stable,0.01,0.0,,extreme,3
3nJXYRGSFdfhVAg48cLE3iF3Hhda4CXqTt9XS56Mpump,YOU,YOU can change your life.,2025-10-07,99.99,99.93,stable,-0.0,0.0,,extreme,3
4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,grandma,101 Year Old Pumpfun Livestreamr,2025-10-07,84.6,79.97,stable,-0.09,-0.04,,extreme,6
4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,DARE,DareCoin,2025-10-06,88.96,0.0,increasing,0.58,0.13,,extreme,5
4h49bD28nPPLXWB1ZmP8JPuv4iKk3KzFpS8bSmGJpump,MOONCOIN,MOON COIN,2025-10-05,99.65,0.0,stable,0.0,0.0,,extreme,3
4w4Kj3PmKjJWpsBVCNPeziC2ySdJ6A7cPfqnhyXxpump,ORE,Ore Labs,2025-10-07,99.18,98.64,stable,0.01,0.0,,extreme,5
5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,Useless,Useless Coin,2025-10-07,44.31,35.33,increasing,1.43,1.15,,medium,6
6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,Bagwork,African Bagwork,2025-10-07,97.14,96.1,stable,0.135,0.05,,extreme,6
6UMuZxH9jLT3txQkQo6jWXX2HpHrM1mPkGRjE66pzhEp,FATMEOW,BIG FAT CAT,2025-10-07,98.65,98.14,stable,0.075,0.04,,extreme,4
6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,retail,retail,2025-10-06,99.35,0.0,stable,0.04,0.01,,extreme,4
7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,RWA,Real World Asses,2025-10-07,89.62,85.02,stable,0.36,0.12,,extreme,7
7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,VIBECODER,Vibe Coding Meta,2025-10-07,54.21,40.88,stable,-0.115,-0.07,,medium,6
7Rw4dgDuwESJEcCAbhxAghLcmkXM5QotupWq8PPc1UeC,JIFFPOM,Jiffpom,2025-10-07,98.0,97.22,stable,0.11,0.06,,extreme,4
7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,early,not wrong just early,2025-10-07,45.19,36.29,increasing,5.205,4.99,,medium,6
8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,1dog,1 dog can change your life,2025-10-07,77.04,69.01,stable,-0.105,-0.05,,high,6
8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,PILL,PumpFun Pill,2025-10-07,89.89,85.64,stable,0.215,0.08,,extreme,6
99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,MOON,Moon Moon,2025-10-07,88.84,84.34,decreasing,-0.61,-0.23,,extreme,6
9iQikUHRe69UScUaytfQabQDmZRqtTkjCEF94ZV5pump,SLOW,Slow Runner,2025-10-07,99.1,98.71,stable,0.06,0.02,,extreme,3
9kfdKdj5yiZgozQB9V6qRvBxat5WKHcpNESNjAPxpump,2,TWO IS BETTER THAN ONE,2025-10-07,99.84,99.66,stable,0.015,0.01,0.02,extreme,3
9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,FARTWORM,FARTWORM,2025-10-07,83.64,77.24,increasing,0.83,0.34,,extreme,6
AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,KENNY,KENNY KO,2025-10-03,0.0,0.0,stable,0.0,0.0,0.0,low,3
Axix4KAvD9m5iYvUx7wztZnKJfJs7KXxPzPmMv6Npump,MMGA,MAKE MEMES GREAT AGAIN,2025-10-07,99.24,98.73,stable,0.06,0.03,,extreme,4
B1PrDviUajpkxghL1v2w2P8jnxu3FNjcxUDdBNanPLyR,Supershiro,Super Shiro,2025-10-05,99.51,0.0,stable,0.0,0.0,,extreme,3
BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,CRND,Crundle,2025-10-07,30.08,24.93,increasing,0.595,0.69,,low,6
CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,7,7 Coin,2025-10-07,94.96,0.0,stable,0.0,0.0,,extreme,6
CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,CHARLIE,RIP CHARLIE KIRK,2025-10-07,42.84,33.44,increasing,3.365,3.11,,medium,6
CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,Pochita,Pochita,2025-10-07,92.41,90.06,stable,0.065,0.02,,extreme,6
DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,AI20X,Ai20x.ai,2025-10-06,39.37,0.0,stable,0.0,0.0,,low,6
Eo2cfEkpeVZrKjRtG34WZc3qzyeZeXjCRGWsEs4JTaNH,MoneyBear,The Money Bears,2025-10-06,99.24,0.0,stable,0.0,0.0,,extreme,4
Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,BAR,BullArena,2025-10-07,43.22,34.61,stable,0.25,0.2,,medium,6
F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,Noxi,Noxi Labs AI,2025-10-07,98.01,95.28,stable,0.04,0.01,,extreme,6
GCU5AT6U8bKYK76KBssLf5a3a3KoNoMGStaVdfeipump,Mementoe,Mementoe,2025-10-05,99.33,0.0,stable,0.0,0.0,,extreme,4
HJ5HdKrTmvE26k7oKq8JFWvudnzge1gFpe6EKZXUbREV,PROFIT,Profit Protocol,2025-10-07,96.18,89.55,stable,0.32,0.11,,extreme,3
HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,Hosico,Hosico Cat,2025-10-07,96.6,93.72,increasing,0.975,0.34,,extreme,6
HxMQWY4DLbUrPXyejuKvu2KJ618zdTRs9dXEuFGrpump,BLUB,Blub,2025-10-07,97.48,96.32,stable,0.01,0.0,,extreme,5
JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,HOODIE,Hoodie,2025-10-07,91.7,80.88,stable,-0.015,-0.0,,extreme,7
