address,symbol_last,name_last,first_seen,last_seen,days_seen,last_price,last_volume,last_liquidity,last_fdv,avg_volume_7d,avg_liquidity_7d,presence_7d,presence_30d,current_streak_days
So11111111111111111111111111111111111111112,wSOL,Wrapped SOL,2025-10-01,2025-10-15,8,194.15,438852986.44,56596214.68,0.0,438852986.44,56596214.68,1,8,1
2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,67,67coin,2025-10-01,2025-10-07,6,9.346e-05,27511.05,54063.29,93310.0,194620.545,59294.98666666666,6,6,4
CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,AI4,AI⁴,2025-10-01,2025-10-15,7,0.0003264,145506.02,106526.04,326439.0,145506.02,106526.04,1,7,1
B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,DREAM,Dreamsync,2025-10-01,2025-10-15,7,0.001761,103284.86,180447.53,1761415.0,103284.86,180447.53,1,7,1
5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,Useless,Useless Coin,2025-10-01,2025-10-07,6,0.0001294,27295.0,56286.34,129420.0,80705.28499999999,62304.67666666667,6,6,4
44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,1nu,1nu,2025-10-01,2025-10-15,8,8.552e-05,77733.88,37738.12,85528.0,77733.88,37738.12,1,8,1
7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,early,not wrong just early,2025-10-01,2025-10-07,6,5.961e-05,119186.84,33190.12,59600.0,60950.98500000001,59651.45333333334,6,6,4
CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,CHARLIE,RIP CHARLIE KIRK,2025-10-01,2025-10-07,6,0.0002254,45372.68,98585.46,225394.0,57268.63333333333,119266.3133333333,6,6,4
7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,LION,Loaded Lions,2025-10-01,2025-10-15,7,0.01181,33452.68,1696330.89,59082790.0,33452.68,1696330.89,1,7,1
2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,T-2049,Token 2049,2025-10-01,2025-10-07,6,4.928e-05,7446.66,56711.84,49280.0,31504.71,63661.82166666666,6,6,4
14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,DETECTIVE,Just can't prove it,2025-10-01,2025-10-07,6,2.095e-05,6039.99,19320.51,20746.0,26553.43666666666,23526.93166666667,6,6,4
