date,symbol,name,address,price_usd,price_change_1d,price_change_3d,price_change_5d,price_change_7d,volatility_5d,volatility_10d,momentum_3d,volume_24h_usd,volume_change_1d,volume_change_3d,volume_ma_3d,volume_ma_7d,volume_momentum,liquidity_usd,liquidity_change_1d,liquidity_change_3d,volume_to_liquidity,top_10_holders_pct,top_5_holders_pct,concentration_numeric,concentration_risk_numeric,whale_change_3d,signal,signal_numeric,score,vol_mom_3v1,vol_mom_5v3,zscore_vol_10d,zscore_liq_10d,macd,macd_signal,macd_histogram,atr_14,stoch_k,stoch_d,adx_proxy,ma_convergence,price_vs_sma20,price_trend_7d,volume_ratio_3v7,liquidity_momentum_7d,volume_profile_3d,liquidity_depth,volume_acceleration,pv_correlation_3d,liquidity_volatility_7d,volume_concentration,turnover_ratio,turnover_ratio_ma7,liquidity_efficiency,volume_consistency_7d,beta_vs_market,alpha_vs_market,relative_strength_7d,volume_share,liquidity_share,market_correlation_7d,outperform_streak,market_divergence,whale_accumulation_velocity,whale_concentration_spread,whale_trend_7d,whale_volatility_7d,whale_momentum_strength,whale_price_correlation_7d,whale_activity_score,whale_buy_pressure,whale_net_flow_norm,whale_regime,whale_confidence_score,holder_risk_score,whale_intel_score,social_momentum_score,social_velocity_zscore,social_mentions_24h,social_momentum_numeric,social_price_correlation_7d,social_strength,combined_intelligence_score,hype_indicator,stealth_accumulation,market_regime,market_regime_confidence,market_volatility,volatility_regime,liquidity_regime,sector_momentum,sector_relative_perf,regime_alignment_score,momentum_1d,momentum_14d,momentum_acceleration,momentum_strength,momentum_consistency_7d,momentum_reversal,momentum_zscore_14d,volume_weighted_momentum,momentum_divergence,trend_strength,momentum_regime,composite_momentum_score,target_return_1d,target_pump_1d,target_dump_1d,target_return_3d,target_pump_3d,target_dump_3d,target_return_5d,target_pump_5d,target_dump_5d,target_return_7d,target_pump_7d,target_dump_7d
2025-10-01,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,1.747e-05,0.0,0.0,0.0,0.0,,,0.0,6395.93,0.0,0.0,,,0.0,17452.45,0.0,0.0,0.36645648854524465,,0.0,0.0,0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.9998436750128578,998989702.4058248,,,,0.9998436750128578,0.36645648854524465,,,,,,,2.4454460539061127e-05,0.00026994862117248216,,0,,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,,1,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,1,0.0,-0.5649900398406374,0,1,-0.6581213307240705,0,1,-0.166109785202864,0,1,,0,0
2025-10-02,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,4.016e-05,1.2987979393245563,0.0,0.0,0.0,,,0.0,110479.88,16.27346609484469,0.0,58437.905,,0.0,26675.7,0.5284788095654191,0.0,4.141437284221811,,0.0,0.0,0,0.0,Watch,2.0,1.0,1.06,1.0,1.0,1.0,1.8100284900284902e-06,3.6200569800569805e-07,1.4480227920227922e-06,,99.999559279157,99.999559279157,,,,,,0.0,0.9999914439827713,664233903.8000404,,,,1.8905193381019032,4.141437284221811,2.253946886383528,1.955332198332869e-09,1.2594087253633783,,,,0.0004001089386134474,0.00043754748752137065,,1,1.118691451687942,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.5246396721711976,2,0,0,0,25,1.2987905049198345,0.0,0.0,0.0,0.14285714285714285,0,0.0,0.0,0,,1,0.0,0.1461187214611872,0,0,0.5275770254849752,1,0,,0,0,,0,0
2025-10-04,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,3.504e-05,-0.12749003984063745,0.0,0.0,0.0,1.0085379019925658,,0.5856539497419595,6576.25,-0.940475587048067,0.0,41150.68666666667,41150.68666666667,0.15980511450887472,25157.39,-0.05691734424963546,0.0,0.2613939127265298,,0.0,0.0,0,0.0,0,0.0,0.0,,,0.0,0.0,2.799081825634533e-06,8.494209235314652e-07,1.949660902103068e-06,1.3905e-05,77.43465211700259,88.71710569807979,0.7131439895825968,,,,0.999975699659455,0.0,0.9999918997552592,717959994.4064085,-17.213941681892756,0.6756963845103674,0.41393759004314834,2.684698707367685,0.2613939127265298,1.5897625618311952,1.7757262359171286e-10,1.4590145680050162,,,,3.9599723593694476e-05,0.0003826842206985467,,0,0.04553810801651406,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.17187538067469862,1,0,0,0,20,-0.1274897223861494,0.0,0.0,0.0,0.14285714285714285,0,0.0,0.0935904965010886,0,0.08366484996313707,1,0.0,-0.3142857142857143,0,1,0.6725536992840095,1,0,,0,0,,0,0
2025-10-05,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,5.11e-05,0.45833333333333326,1.9250143102461363,0.0,0.0,0.7169224944153125,0.7169224944153125,0.5432137442724173,16278.24,1.4753073560159664,1.545093520410636,44444.79,34932.575,0.46597692907181704,30472.57,0.21127708399003242,0.7460339379284855,0.5341756807620506,54.52,0.0,2.0,0,0.0,Watch,2.0,1.17,8.19,1.05,-0.43,1.17,4.823222395404119e-06,1.644181217905996e-06,3.1790411774981233e-06,1.4623333333333333e-05,99.9997026473308,92.47797134783013,0.6282071041661758,,,,1.2722657214441981,0.0,0.9542197775301597,596330926.9453484,2.415782943064033,-0.1213289156315073,0.2930397706080935,3.1625701062659637,0.5341756807620506,1.325865841563909,7.685889036161592e-10,1.447776758442909,,,,5.6269835912298425e-05,0.0004679140659940545,,1,0.46422196204877564,,54.52,,,0.0,,0.0,0.0,0.0,0,0.0,50,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.1306030859351631,0,0,0,0,25,0.4583320253081469,0.0,-0.04244020546954219,0.9624046237773879,0.2857142857142857,1,-0.7071067788302903,0.25312507238566434,0,0.15520392693497637,1,34.380542652059425,0.9437048307341194,1,0,,0,0,,0,0,,0,0
2025-10-06,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,2.629e-05,-0.48551859099804306,-0.3453685258964143,0.0,0.0,0.7792460863382866,0.7792460863382866,-0.051558432501782415,13550.33,-0.16758015608567023,-0.8773502469408909,12134.94,30656.126,0.44199609578536486,22082.97,-0.27531645673469607,-0.17216905273338656,0.613582159367179,60.76,0.0,2.0,0,0.0,0,0.0,0.0,,,0.0,0.0,4.374976717640637e-06,2.1903403178529245e-06,2.1846363997877125e-06,1.717e-05,26.22650542222592,67.88695339551977,0.5925349758741425,,-0.22703684865092125,,0.39582771066015776,0.0,0.2375028240500835,839972841.4878604,-1.6428875121016366,0.4300911199534594,0.3471061460230895,0.5309773655886726,0.613582159367179,1.183409105124563,5.78017010809581e-10,1.4623614695122862,,,,4.085144663517877e-05,0.00033153260430794477,,0,0.48918514202194846,,60.76,,4.412346314604053,0.0,,0.0,0.0,0.0,0,0.0,75,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.141678297606785,1,0,0,0,45,-0.48551764086567345,0.0,-0.5947721767741997,0.13103344122222782,0.2857142857142857,0,-1.152650568867898,-0.02278862587060109,0,0.014730980714794974,1,20.08383667527474,0.2548926014319808,1,0,,0,0,,0,0,,0,0
2025-10-07,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,2.095e-05,-0.20311905667554198,-0.40211187214611877,0.19919862621637097,0.0,0.7094165465076858,0.7094165465076858,-0.07676810478008393,6039.99,-0.5542551362217747,-0.08154495343090673,11956.186666666666,26553.436666666665,0.2274569058202578,19320.51,-0.12509458646187555,-0.23201452932915545,0.312604449652227,65.7,56.89,2.0,2,0.0,0,0.0,0.0,,,0.0,0.0,3.547946893550841e-06,2.461861632992508e-06,1.0860852605583327e-06,1.4804e-05,10.347872887680978,45.524693652412566,0.5146517920344225,,-0.3419181972099978,,0.45025194157762216,0.0,0.22513303593071674,922215645.7487075,-0.38667498013610446,0.8137078148914724,0.31727834393677234,0.6130139458177172,0.312604449652227,1.0382749958791737,2.2025115016416608e-10,1.556760537784634,5.57364743167367,0.2349030534866564,,1.4736550324216904e-05,0.00030924489138659986,,0,0.12453100180988502,,8.810000000000002,,5.602582737749914,0.0,,0.0,,,0,0.0,75,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.15740622086366252,1,0,0,0,20,-0.20311828406890806,0.0,-0.025209672278301516,0.2442521699340162,0.2857142857142857,0,-0.8993715710934934,-0.017461435578963232,0,0.02193374422288112,1,20.83807864469689,,0,0,,0,0,,0,0,,0,0
2025-10-01,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.831e-06,0.0,0.0,0.0,0.0,,,0.0,20.77,0.0,0.0,,,0.0,10623.41,0.0,0.0,0.0019549320856405202,,0.0,0.0,0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.9540652273771245,1555153635.578457,,,,0.9540652273771245,0.0019549320856405202,,,,,,,7.941286808897214e-08,0.00016431932947236398,,0,,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,,1,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,1,0.0,-0.023026315789473673,0,0,0.0858369098712446,0,0,0.1123595505617978,0,0,,0,0
2025-10-02,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.992e-06,0.023569023569023573,0.0,0.0,0.0,,,0.0,12.82,-0.38276360134809817,0.0,16.795,,0.0,10804.01,0.017000191087419125,0.0,0.0011864866390683582,,0.0,0.0,0,0.0,Watch,2.0,1.0,2.62,1.0,-1.0,1.0,1.2843304843304807e-08,2.5686609686609613e-09,1.0274643874643845e-08,,99.9379267535692,99.9379267535692,,,,,,0.0,0.9710899103787222,1545173839.0469244,,,,1.1671817926383814,0.0011864866390683582,0.0015707093623544392,1.5253315176214176e-11,0.3159032824070274,,,,4.642833240789541e-08,0.0001772124979159221,,0,0.15653746406759078,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.5246396721711976,2,0,0,0,0,0.02356867854371914,0.0,0.0,0.0,0.14285714285714285,0,0.0,0.0,0,,1,0.0,0.09472365742915301,0,0,0.11142902559211576,0,0,,0,0,,0,0
2025-10-04,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.387e-06,-0.08652745995423339,0.0,0.0,0.0,0.07784997008408799,,-0.03147921819260491,237.26,17.507020280811233,0.0,90.28333333333335,90.28333333333335,2.599160124155559,10544.24,-0.024043850385181087,0.0,0.022499250846827572,,0.0,0.0,0,0.0,Watch,2.0,1.41,1.14,1.0,1.41,-1.04,-2.550274754263294e-08,-3.0456207335978194e-09,-2.245712680903512e-08,3.83e-07,0.0,49.9689633767846,0.05504824176162848,,,,0.9890450976812123,0.0,0.9963215008276624,1650865024.815644,17.889783882159332,-0.9739831887230039,0.0290225200525775,2.599160124155559,0.022499250846827572,0.008546889857178818,5.2413406701069404e-11,1.39508029519634,,,,1.4286911872024257e-06,0.0001603947892551033,,0,0.0045755281301100015,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.17187538067469862,1,0,0,0,45,-0.08652622245105192,0.0,0.0,0.0,0.14285714285714285,0,0.0,-0.08181952866581091,0,0.004497031170372129,1,0.0,0.015259895088221231,0,0,0.0400586223742061,0,0,,0,0,,0,0
2025-10-05,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.291e-06,-0.015030530765617556,-0.07905138339920947,0.0,0.0,0.055861394185999405,0.055861394185999405,-0.025996322383609122,7.4,-0.9688105875410942,-0.6437168993740972,85.82666666666665,69.5625,0.10487156775907884,10400.7,-0.013613119579979127,-0.020964078389142382,0.0007114221713758328,97.54,0.0,3.0,0,0.0,0,0.0,0.0,,,0.0,0.0,-6.291344103540409e-08,-1.5019184793959073e-08,-4.7894256241445015e-08,2.873333333333332e-07,0.0,33.312642251189736,0.04170900476295817,,,,1.2163212282255682,0.0,0.9220411817367948,1653240291.8408544,-18.475830868352325,-0.3674830229759162,0.021333027115850806,3.3624092116917623,0.0007114221713758328,0.006588022935728071,9.091558462370476e-12,1.5862970568682784,,,,2.5579963543417984e-08,0.00015970539492351197,,0,0.009141902050175184,,97.54,,,0.0,,0.0,0.0,0.0,0,0.0,100,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.1306030859351631,0,0,0,0,0,-0.015030295439244662,0.0,0.005482895808995785,0.9046047077600555,0.14285714285714285,-1,0.7071067629480103,-0.002726275084339522,0,0.003713760340515589,1,14.928471732093861,0.0,0,0,,0,0,,0,0,,0,0
