date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,volume_7d_avg,volume_momentum_pct,volume_trend,volume_spike,volume_spike_label,price_change_pct,divergence_status,liquidity_trend_pct,liquidity_trend,momentum_signal
2025-10-07,SOL,Solana,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,400.92,26538.36,11189.13,6002.651428571428,342.11062920766443,explosive,True,🔥 SPIKE,-63.558690396117,bullish,-39.36456274060972,decreasing,BUY
2025-10-07,obvious,in hindsight,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,5.183e-06,113.86,9216.54,36.83857142857143,209.07821770659635,explosive,True,🔥 SPIKE,-7.396819724852599,bullish,-0.9641886599034797,stable,BUY
2025-10-07,FARTLESS,FARTLESS COIN,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,0.0009599,4026.73,4007.55,1823.542857142857,120.8190492604663,explosive,True,🔥 SPIKE,-29.522760646108658,bullish,8.815950603741113,stable,BUY
2025-10-07,XBT,XBT,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,0.001914,566736.82,433414.22,275792.21,105.49413632821604,explosive,True,🔥 SPIKE,21.523809523809522,none,3.3599194591749204,stable,BUY
2025-10-07,viewer,in a streamers world,8X4TnmkHzavxEJuaYTkqjFbUgrwBgaXVuRHhGFR2pump,5.319e-06,8.48,9823.86,3.401666666666667,149.28956393924545,explosive,True,🔥 SPIKE,-1.4635050018525275,none,0.8327234768899582,stable,WATCH
2025-10-07,YOU,YOU can change your life.,3nJXYRGSFdfhVAg48cLE3iF3Hhda4CXqTt9XS56Mpump,7.941e-06,29.77,0.0,14.603333333333333,103.85756676557862,explosive,True,🔥 SPIKE,-1.9145256916995979,none,0.0,stable,WATCH
2025-10-07,grandma,101 Year Old Pumpfun Livestreamr,4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,1.043e-05,760.51,15033.54,526.0566666666667,44.568075682594376,rising,False,,-3.604436229205177,none,-6.793483652091102,stable,WATCH
2025-10-07,PROFIT,Profit Protocol,HJ5HdKrTmvE26k7oKq8JFWvudnzge1gFpe6EKZXUbREV,1.897e-06,9.71,2937.8,6.886666666666667,40.997095837366906,rising,False,,-1.3520540821632898,none,0.0,stable,WATCH
2025-10-07,wSOL,Wrapped SOL,So11111111111111111111111111111111111111112,224.32,407850693.36,57696213.56,292053610.32857144,39.649255799698025,rising,False,,-3.9726027397260277,none,0.4707362905910925,stable,WATCH
2025-10-07,HOODIE,Hoodie,JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,0.0002986,351.54,5228.36,260.2157142857143,35.09560749048867,rising,False,,-11.735146319834467,bullish,-0.5139504925438213,stable,WATCH
2025-10-07,HAROLD,Harold,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.003774,13732.16,569393.72,10454.394999999999,31.35298599297235,rising,False,,2.082769813362173,none,-3.782789092606102,stable,WATCH
