symbol,name,momentum_signal,price_usd,volume_24h_usd,volume_momentum_pct,volume_trend,volume_spike,divergence_status,liquidity_trend,price_change_pct
SOL,Solana,BUY,400.92,26538.36,342.11062920766443,explosive,True,bullish,decreasing,-63.558690396117
obvious,in hindsight,BUY,5.183e-06,113.86,209.07821770659635,explosive,True,bullish,stable,-7.396819724852599
FARTLESS,FARTLESS COIN,BUY,0.0009383,4046.1,121.54508270775499,explosive,True,bullish,stable,-31.108663729809106
XBT,XBT,BUY,0.002023,587342.38,110.71647436744041,explosive,True,none,stable,28.44444444444445
viewer,in a streamers world,WATCH,5.319e-06,7.93,139.57703927492443,explosive,True,none,stable,-1.4635050018525275
YOU,YOU can change your life.,WATCH,7.941e-06,29.77,103.85756676557862,explosive,True,none,stable,-1.9145256916995979
grandma,101 Year Old Pumpfun Livestreamr,WATCH,1.007e-05,780.47,47.43002864968675,rising,False,bullish,stable,-6.9316081330868755
PROFIT,Profit Protocol,WATCH,1.897e-06,9.71,40.997095837366906,rising,False,none,stable,-1.3520540821632898
wSOL,Wrapped SOL,WATCH,223.058,408388759.16,39.796697535169734,rising,False,none,stable,-4.5128424657534305
HOODIE,Hoodie,WATCH,0.0002986,351.54,35.09560749048867,rising,False,bullish,stable,-11.735146319834467
AI4,AI⁴,WATCH,0.0002333,180941.31,28.23899453531775,rising,False,bullish,stable,-18.880389429763554
1,1 pill can change your life,WATCH,5.284e-06,914.16,23.707800656128157,rising,False,bullish,decreasing,-36.559010685556494
gib,gib,WATCH,0.0003729,30560.87,23.462983859313454,rising,False,none,stable,-3.2182714767713394
CHARLIE,RIP CHARLIE KIRK,SELL,0.0002254,45372.68,-20.772196996727118,declining,False,none,stable,-20.717551881814988
USEFUL,USEFUL COIN,SELL,0.000225,22963.26,-22.08681714527209,declining,False,bearish,stable,18.984664198836597
PILL,PumpFun Pill,SELL,7.659e-06,260.6,-22.52348674039719,declining,False,none,stable,-15.304655534667688
AUSBAGWORK,AUSSIE BAG WORKERS,SELL,2.049e-05,730.87,-22.533427313148874,declining,False,bearish,stable,18.30254041570438
BAR,BullArena,SELL,0.0001974,18576.9,-26.419138547008146,declining,False,none,stable,-13.799126637554593
$CrepSol,Crepe on Solana,SELL,3.126e-05,1822.04,-33.087077312353216,declining,False,none,stable,-19.099378881987572
APOLLO,Apollo AI,SELL,6.638e-06,471.85,-38.337457092575484,declining,False,none,stable,-29.8531121208919
RUECAT,Rue Cat,SELL,0.0002442,11988.85,-51.25498932101322,dead,False,none,decreasing,-47.70877944325481
1,1 pill can change your life,SELL,8.512e-06,288.07,-55.494714074466444,dead,False,bearish,increasing,61.09008327024983
1Bull,One bull run to change your life,SELL,3.524e-05,2966.48,-56.24968352765759,dead,False,none,stable,-31.091122409073137
walkusa,WALKING ACROSS AMERICA,SELL,6.12e-05,4800.56,-56.700044332178344,dead,False,none,decreasing,-20.467836257309948
1nu,1nu,SELL,8.185e-05,38765.52,-58.49274431607322,dead,False,none,stable,-32.79967159277505
Useless,Useless Coin,SELL,0.0001294,27295.0,-66.17941439646734,dead,False,none,decreasing,-6.095791001451367
T-2049,Token 2049,SELL,4.928e-05,7446.66,-76.36334376669393,dead,False,none,stable,-31.565060408276622
DETECTIVE,Just can't prove it,SELL,2.095e-05,6039.99,-77.25345281734404,dead,False,none,decreasing,-20.311905667554196
1SOL,1 SOL and a dream,SELL,6.635e-06,1.9,-87.87105011171401,dead,False,bearish,decreasing,38.51774530271399
Hosico,Hosico Cat,SELL,5.293e-06,52.47,-88.2193134107187,dead,False,none,stable,-18.794108622276774
PILL,Getpilled,SELL,6.141e-06,5.39,-98.22250488775823,dead,False,none,stable,-19.819819819819827
YAO,YAO MING,SELL,0.0001185,14.25,-99.50902052753591,dead,False,none,decreasing,-2.789171452009842
ELIZABETH,Just Elizabeth Cat,SELL,0.001858,46.14,-99.97129958726516,dead,False,bearish,stable,6.050228310502281
