date,symbol,action,price,shares,value,fusion_score,stop_loss,pnl,pnl_pct,exit_type
2025-10-02,XBT,BUY,0.002344,213310.58020477815,500.0,0.6688898696980528,-0.195,,,
2025-10-02,AI20X,BUY,1.29,387.5968992248062,500.0,0.64,-0.15,,,
2025-10-02,MOON,BUY,1.002e-05,51562211.91945516,516.6533634329408,0.5884197238910904,-0.12,,,
2025-10-02,1dog,BUY,1.501e-05,33311125.916055962,500.0,0.5874822376511679,-0.15,,,
2025-10-02,gib,BUY,0.0004933,1013581.9987837016,500.0,0.5873064552855399,-0.2249999999999999,,,
2025-10-04,XBT,SELL,0.001783,213310.58020477815,380.3327645051194,,,-119.66723549488057,-0.2393344709897611,STOP_LOSS
2025-10-04,1dog,SELL,1.163e-05,33311125.916055962,387.4083944037309,,,-112.59160559626912,-0.22518321119253829,STOP_LOSS
2025-10-04,Noxi,BUY,6.261e-06,78004641.10292965,488.3870579454425,0.64,-0.12,,,
2025-10-05,AI4,BUY,0.00027,1808840.9553534908,488.3870579454425,0.66,-0.2249999999999999,,,
2025-10-07,gib,SELL,0.0003729,1013581.9987837016,377.9647273464423,,,-122.03527265355768,-0.24407054530711533,STOP_LOSS
2025-11-03,AI20X,SELL,0.7814,387.5968992248062,302.86821705426354,,,-197.13178294573646,-0.3942635658914729,STOP_LOSS
