date,address,symbol,vol_1d,vol_3d,vol_5d,vol_10d,liq_1d,liq_3d,liq_5d,vol_mom_3v1,vol_mom_5v3,liq_mom_3v1,zscore_vol_10d,zscore_liq_10d
2025-10-01,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,DETECTIVE,6395.93,6395.93,6395.93,6395.93,17452.45,17452.45,17452.45,1.0,1.0,1.0,0.0,0.0
2025-10-01,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,PILL,20.77,20.77,20.77,20.77,10623.41,10623.41,10623.41,1.0,1.0,1.0,0.0,0.0
2025-10-01,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,NeverDie,5.06,5.06,5.06,5.06,7946.58,7946.58,7946.58,1.0,1.0,1.0,0.0,0.0
2025-10-01,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,T-2049,109441.57,109441.57,109441.57,109441.57,65850.04,65850.04,65850.04,1.0,1.0,1.0,0.0,0.0
2025-10-01,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,67,40083.9,40083.9,40083.9,40083.9,57379.59,57379.59,57379.59,1.0,1.0,1.0,0.0,0.0
2025-10-01,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,walkusa,14531.95,14531.95,14531.95,14531.95,40389.58,40389.58,40389.58,1.0,1.0,1.0,0.0,0.0
2025-10-01,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,HAROLD,11553.47,11553.47,11553.47,11553.47,582527.48,582527.48,582527.48,1.0,1.0,1.0,0.0,0.0
2025-10-01,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,USDUT,58592.95,58592.95,58592.95,58592.95,150951.1,150951.1,150951.1,1.0,1.0,1.0,0.0,0.0
2025-10-01,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,1nu,188489.97,188489.97,188489.97,188489.97,53951.15,53951.15,53951.15,1.0,1.0,1.0,0.0,0.0
2025-10-01,4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,grandma,941.98,941.98,941.98,941.98,16380.08,16380.08,16380.08,1.0,1.0,1.0,0.0,0.0
2025-10-01,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,BULLCOIN,10.79,10.79,10.79,10.79,9904.93,9904.93,9904.93,1.0,1.0,1.0,0.0,0.0
2025-10-01,4Y6HDaV4374KstQX8qD1L35WiQDwHZaHLez8xs6GrKcf,REVIVE,3.3,3.3,3.3,3.3,11302.56,11302.56,11302.56,1.0,1.0,1.0,0.0,0.0
2025-10-01,4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,DARE,1369.57,1369.57,1369.57,1369.57,13685.87,13685.87,13685.87,1.0,1.0,1.0,0.0,0.0
2025-10-01,4w4Kj3PmKjJWpsBVCNPeziC2ySdJ6A7cPfqnhyXxpump,ORE,16.67,16.67,16.67,16.67,8050.02,8050.02,8050.02,1.0,1.0,1.0,0.0,0.0
2025-10-01,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,Useless,18990.41,18990.41,18990.41,18990.41,36478.85,36478.85,36478.85,1.0,1.0,1.0,0.0,0.0
2025-10-01,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,gib,37995.33,37995.33,37995.33,37995.33,177524.6,177524.6,177524.6,1.0,1.0,1.0,0.0,0.0
2025-10-01,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,Bagwork,23.09,23.09,23.09,23.09,9463.24,9463.24,9463.24,1.0,1.0,1.0,0.0,0.0
2025-10-01,6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,retail,136.0,136.0,136.0,136.0,8306.22,8306.22,8306.22,1.0,1.0,1.0,0.0,0.0
2025-10-01,6k1rwsNMBwbRJrWck3sEVCjn4MvF9ty8A6iSGfxjxREV,APOLLO,1893.86,1893.86,1893.86,1893.86,9318.98,9318.98,9318.98,1.0,1.0,1.0,0.0,0.0
