symbol,address,confidence_score,risk_profile,estimated_win_rate,kelly_size,position_size,position_size_pct,position_heat,position_heat_pct,can_trade,updated_at
FLY,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,2041.4993527744755,aggressive,8.465997411097904,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.092767
gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,1993.2119822776117,moderate,8.272847929110448,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.092889
ELIZABETH,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,1921.928495815298,aggressive,7.987713983261192,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.092987
wSOL,So11111111111111111111111111111111111111112,1802.4640084775267,aggressive,7.509856033910107,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093074
1,qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,1776.6014210821638,aggressive,7.406405684328655,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093159
SUPRACOIN,LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,1736.6547423995344,aggressive,7.246618969598138,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093267
FARTLESS,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,1681.9770963382987,moderate,7.027908385353195,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093358
Streamless,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,1609.8186023417647,aggressive,6.7392744093670585,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093452
obvious,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,1599.816501256775,aggressive,6.6992660050271,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093547
HOODIE,JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,1576.200213487717,aggressive,6.604800853950869,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093640
USEFUL,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,1559.5661941490193,aggressive,6.538264776596078,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093719
SOL,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,1503.065262407539,conservative,6.312261049630156,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093782
DREAM,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,1469.573128138889,aggressive,6.178292512555556,0.15,0.15,15.0,0.012,1.2,True,2025-11-11T19:45:22.093840
BULLCOIN,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,1360.9763531884146,aggressive,5.743905412753659,0.15,0.144,14.399999999999999,0.011519999999999999,1.152,True,2025-11-11T19:45:22.093895
viewer,8X4TnmkHzavxEJuaYTkqjFbUgrwBgaXVuRHhGFR2pump,1345.4411134794707,aggressive,5.681764453917883,0.15,0.13248,13.248,0.0105984,1.05984,True,2025-11-11T19:45:22.093951
SHITTER,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,1280.0134687217844,aggressive,5.420053874887137,0.15,0.12188159999999998,12.188159999999998,0.009750527999999998,0.9750527999999998,True,2025-11-11T19:45:22.094005
RAGEGUY,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,1250.3429770949517,aggressive,5.3013719083798065,0.15,0.11213107199999997,11.213107199999998,0.008970485759999997,0.8970485759999998,True,2025-11-11T19:45:22.094060
RUECAT,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,1241.06300389093,aggressive,5.26425201556372,0.15,0.10316058623999996,10.316058623999997,0.008252846899199997,0.8252846899199997,True,2025-11-11T19:45:22.094115
$CrepSol,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,1157.0301566893118,moderate,4.928120626757247,0.15,0.09490773934079996,9.490773934079996,0.007592619147263997,0.7592619147263997,True,2025-11-11T19:45:22.094170
REVIVE,4Y6HDaV4374KstQX8qD1L35WiQDwHZaHLez8xs6GrKcf,1149.1207770700137,aggressive,4.896483108280054,0.15,0.08731512019353596,8.731512019353596,0.006985209615482877,0.6985209615482877,True,2025-11-11T19:45:22.094260
LION,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,1142.089176155378,aggressive,4.868356704621513,0.15,0.08032991057805308,8.032991057805308,0.006426392846244247,0.6426392846244247,True,2025-11-11T19:45:22.094323
Bagwork,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,1122.4188018757052,aggressive,4.789675207502821,0.15,0.07390351773180884,7.390351773180884,0.005912281418544707,0.5912281418544707,True,2025-11-11T19:45:22.094381
AUSBAGWORK,9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,1117.0230732111959,aggressive,4.768092292844783,0.15,0.06799123631326412,6.799123631326412,0.00543929890506113,0.543929890506113,True,2025-11-11T19:45:22.094436
YAO,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,1113.7709618419149,aggressive,4.7550838473676595,0.15,0.062551937408203,6.2551937408203,0.00500415499265624,0.500415499265624,True,2025-11-11T19:45:22.094490
early,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,1111.8983968481712,moderate,4.747593587392684,0.15,0.057547782415546755,5.754778241554676,0.00460382259324374,0.46038225932437404,True,2025-11-11T19:45:22.094544
Hosico,HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,1054.4946009295638,aggressive,4.517978403718255,0.15,0.052943959822303016,5.294395982230301,0.004235516785784241,0.42355167857842413,True,2025-11-11T19:45:22.094598
1,8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,1035.0437505640436,aggressive,4.440175002256174,0.15,0.04870844303651878,4.870844303651878,0.0038966754429215025,0.3896675442921502,True,2025-11-11T19:45:22.094653
BAR,Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,1030.7037372594812,aggressive,4.4228149490379245,0.15,0.044811767593597285,4.4811767593597285,0.003584941407487783,0.3584941407487783,True,2025-11-11T19:45:22.094710
Useless,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,1030.4877717168338,conservative,4.4219510868673355,0.15,0.04122682618610951,4.122682618610951,0.003298146094888761,0.3298146094888761,True,2025-11-11T19:45:22.094766
walkusa,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,980.6892848512789,aggressive,4.2227571394051155,0.15,0.037928680091220746,3.7928680091220746,0.00303429440729766,0.30342944072976596,True,2025-11-11T19:45:22.094822
Pochita,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,972.518472187326,aggressive,4.190073888749304,0.15,0.03489438568392311,3.4894385683923113,0.002791550854713849,0.2791550854713849,True,2025-11-11T19:45:22.094876
7,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,959.9827756487313,aggressive,4.139931102594925,0.15,0.03210283482920928,3.210283482920928,0.0025682267863367425,0.25682267863367425,True,2025-11-11T19:45:22.094931
MOON,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,945.7684924452464,aggressive,4.083073969780986,0.15,0.029534608042872557,2.9534608042872557,0.0023627686434298046,0.23627686434298045,True,2025-11-11T19:45:22.094987
