date,address,symbol,signal,score,vol_mom_3v1,vol_mom_5v3,zscore_vol_10d,zscore_liq_10d,vol_3d,liq_3d,presence_7d,presence_30d,current_streak_days,name,top_10_holders_pct,top_5_holders_pct,holder_concentration,concentration_risk
2025-11-08,qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,1,Watch,3.736784867240873,1.280092691063372,1.37295517073111,2.273636426210033,1.46314844103084,5717.469999999999,9615.910000000002,1,1,1,,80.41,70.27,high,high
2025-10-07,So11111111111111111111111111111111111111112,wSOL,Breakout,4.24,2.51,1.47,1.69,0.44,1026799025.29,57821178.44333333,0,0,0,Wrapped SOL,0.0,0.0,unknown,unknown
2025-10-07,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,XBT,Breakout,3.65,2.1,1.12,1.74,0.44,1233599.19,421140.6133333333,0,0,0,XBT,21.98,16.31,low,low
2025-10-07,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,FARTLESS,Watch,1.87,1.98,1.19,1.87,-0.25,8001.65,4236.873333333333,0,0,0,FARTLESS COIN,33.42,28.18,low,low
2025-10-07,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,early,Watch,1.46,1.42,1.93,1.46,-2.2,169666.88,53628.68666666667,0,0,0,not wrong just early,45.19,36.29,low,low
2025-10-07,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,AI4,Watch,1.29,2.56,1.53,1.29,-0.78,463740.39,101374.48,0,0,0,AI⁴,52.53,39.98,low,low
2025-10-06,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,FARTLESS,Watch,2.1,1.51,1.48,1.94,2.1,4624.690000000001,4143.72,0,0,0,FARTLESS COIN,31.63,0.0,low,unknown
2025-10-06,8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,PILL,Watch,2.0,1.15,1.08,2.0,1.85,1841.86,11723.7,0,0,0,PumpFun Pill,89.44,0.0,high,unknown
2025-10-06,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,$CrepSol,Watch,1.96,1.39,1.24,1.96,1.93,11741.83,22447.92666666667,0,0,0,Crepe on Solana,55.28,0.0,medium,unknown
2025-10-06,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,DREAM,Watch,1.91,1.26,1.25,1.91,0.16,534425.05,192491.2433333333,0,0,0,Dreamsync,31.96,0.0,low,unknown
2025-10-06,F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,Noxi,Watch,1.85,1.22,1.58,1.85,1.18,128.96,10215.57666666667,0,0,0,Noxi Labs AI,97.97,0.0,high,unknown
2025-10-06,So11111111111111111111111111111111111111112,wSOL,Watch,1.6,2.37,1.76,1.06,1.6,783425697.86,57808582.49666667,0,0,0,Wrapped SOL,0.0,0.0,unknown,unknown
2025-10-06,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,XBT,Watch,1.55,1.81,1.37,1.55,0.21,791365.7000000001,412706.4033333333,0,0,0,XBT,24.08,0.0,low,unknown
2025-10-06,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,HAROLD,Watch,1.42,1.56,1.75,1.42,0.44,28028.00999999999,389248.1199999999,0,0,0,Harold,61.92,0.0,medium,unknown
