rank,symbol,name,address,quality_score,avg_volume_7d,avg_liquidity_7d,holder_count,age_days,presence_7d,security_score,price_usd,last_seen,updated_at
1,gib,gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,29.41,24753.062857142857,127795.27571428572,13088,39,7.0,100.0,0.0001435,2025-10-07,2025-11-09T14:52:40.156807+00:00
2,USEFUL,USEFUL COIN,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,21.32,29472.881428571425,88036.95999999999,6822,39,7.0,90.0,0.0001051,2025-10-07,2025-11-09T14:52:40.156807+00:00
3,CRND,Crundle,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,18.72,20620.948333333334,65953.51333333334,5314,39,6.0,100.0,7.557e-05,2025-10-07,2025-11-09T14:52:40.156807+00:00
4,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,16.54,31504.710000000003,63661.821666666656,3598,39,6.0,95.0,1.629e-05,2025-10-07,2025-11-09T14:52:40.156807+00:00
5,CHARLIE,RIP CHARLIE KIRK,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,15.22,57268.63333333333,119266.31333333334,2336,39,6.0,95.0,7.591e-05,2025-10-07,2025-11-09T14:52:40.156807+00:00
6,67,67coin,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,13.51,194620.545,59294.986666666664,993,39,6.0,95.0,2.407e-05,2025-10-07,2025-11-09T14:52:40.156807+00:00
7,Useless,Useless Coin,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,13.09,80705.28499999999,62304.67666666667,787,39,6.0,95.0,3.542e-05,2025-10-07,2025-11-09T14:52:40.156807+00:00
8,early,not wrong just early,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,12.53,60950.98500000001,59651.45333333334,453,39,6.0,85.0,1.759e-05,2025-10-07,2025-11-09T14:52:40.156807+00:00
9,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,12.35,26553.43666666666,23526.93166666667,342,39,6.0,100.0,0.0001257,2025-10-07,2025-11-09T14:52:40.156807+00:00
10,BAR,BullArena,Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,12.33,25246.918333333335,59561.92333333333,218,39,6.0,100.0,0.0001177,2025-10-07,2025-11-09T14:52:40.156807+00:00
