address,symbol,name,date,accumulation_score,signal,confidence,trend_component,correlation_component,pattern_component,quality_component,days_analyzed
7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,early,not wrong just early,2025-10-07,81.1,strong_buy,medium,100.0,75,50,85.7,6
14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,DETECTIVE,Just can't prove it,2025-10-07,78.4,strong_buy,medium,97.1,70,50,85.7,6
CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,CHARLIE,RIP CHARLIE KIRK,2025-10-07,77.8,strong_buy,medium,95.6,70,50,85.7,6
2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,67,67coin,2025-10-07,75.2,strong_buy,medium,89.1,70,50,85.7,6
5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,Useless,Useless Coin,2025-10-07,67.9,buy,medium,85.8,50,50,85.7,6
BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,CRND,Crundle,2025-10-07,67.0,buy,medium,83.4,50,50,85.7,6
3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,walkusa,WALKING ACROSS AMERICA,2025-10-07,66.9,buy,medium,83.2,50,50,85.7,6
9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,FARTWORM,FARTWORM,2025-10-07,66.3,buy,medium,81.7,50,50,85.7,6
HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,Hosico,Hosico Cat,2025-10-07,66.3,buy,medium,81.7,50,50,85.7,6
4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,DARE,DareCoin,2025-10-06,64.4,buy,medium,80.6,50,50,71.4,5
7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,RWA,Real World Asses,2025-10-07,55.0,neutral,high,50.0,50,50,100.0,7
JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,HOODIE,Hoodie,2025-10-07,55.0,neutral,high,50.0,50,50,100.0,7
F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,Noxi,Noxi Labs AI,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,Pochita,Pochita,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,BAR,BullArena,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,AI20X,Ai20x.ai,2025-10-06,53.6,neutral,medium,50.0,50,50,85.7,6
7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,VIBECODER,Vibe Coding Meta,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,PILL,PumpFun Pill,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,grandma,101 Year Old Pumpfun Livestreamr,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,PILL,Getpilled,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,1,1 pill can change your life,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,7,7 Coin,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,1dog,1 dog can change your life,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,Bagwork,African Bagwork,2025-10-07,53.6,neutral,medium,50.0,50,50,85.7,6
8ghXDEBVbbYtfdV2cU8jpqsNmiZtDkSjBYmRzj8cpump,1cat,1 cat can change your life,2025-10-07,52.1,neutral,medium,50.0,50,50,71.4,5
4w4Kj3PmKjJWpsBVCNPeziC2ySdJ6A7cPfqnhyXxpump,ORE,Ore Labs,2025-10-07,52.1,neutral,medium,50.0,50,50,71.4,5
HxMQWY4DLbUrPXyejuKvu2KJ618zdTRs9dXEuFGrpump,BLUB,Blub,2025-10-07,52.1,neutral,medium,50.0,50,50,71.4,5
2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,NeverDie,MEMES WILL NEVER DIE,2025-10-05,50.7,neutral,medium,50.0,50,50,57.1,4
GCU5AT6U8bKYK76KBssLf5a3a3KoNoMGStaVdfeipump,Mementoe,Mementoe,2025-10-05,50.7,neutral,medium,50.0,50,50,57.1,4
Eo2cfEkpeVZrKjRtG34WZc3qzyeZeXjCRGWsEs4JTaNH,MoneyBear,The Money Bears,2025-10-06,50.7,neutral,medium,50.0,50,50,57.1,4
Axix4KAvD9m5iYvUx7wztZnKJfJs7KXxPzPmMv6Npump,MMGA,MAKE MEMES GREAT AGAIN,2025-10-07,50.7,neutral,medium,50.0,50,50,57.1,4
7Rw4dgDuwESJEcCAbhxAghLcmkXM5QotupWq8PPc1UeC,JIFFPOM,Jiffpom,2025-10-07,50.7,neutral,medium,50.0,50,50,57.1,4
6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,retail,retail,2025-10-06,50.7,neutral,medium,50.0,50,50,57.1,4
6UMuZxH9jLT3txQkQo6jWXX2HpHrM1mPkGRjE66pzhEp,FATMEOW,BIG FAT CAT,2025-10-07,50.7,neutral,medium,50.0,50,50,57.1,4
3hiutVNCbwCY1vmoPKdXtMtuzg4epn1WzuU1jgpHpump,Gaming,Gaming Cult,2025-10-06,49.3,neutral,low,50.0,50,50,42.9,3
4h49bD28nPPLXWB1ZmP8JPuv4iKk3KzFpS8bSmGJpump,MOONCOIN,MOON COIN,2025-10-05,49.3,neutral,low,50.0,50,50,42.9,3
AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,KENNY,KENNY KO,2025-10-03,49.3,neutral,low,50.0,50,50,42.9,3
B1PrDviUajpkxghL1v2w2P8jnxu3FNjcxUDdBNanPLyR,Supershiro,Super Shiro,2025-10-05,49.3,neutral,low,50.0,50,50,42.9,3
9iQikUHRe69UScUaytfQabQDmZRqtTkjCEF94ZV5pump,SLOW,Slow Runner,2025-10-07,49.3,neutral,low,50.0,50,50,42.9,3
9kfdKdj5yiZgozQB9V6qRvBxat5WKHcpNESNjAPxpump,2,TWO IS BETTER THAN ONE,2025-10-07,49.3,neutral,low,50.0,50,50,42.9,3
HJ5HdKrTmvE26k7oKq8JFWvudnzge1gFpe6EKZXUbREV,PROFIT,Profit Protocol,2025-10-07,49.3,neutral,low,50.0,50,50,42.9,3
3nJXYRGSFdfhVAg48cLE3iF3Hhda4CXqTt9XS56Mpump,YOU,YOU can change your life.,2025-10-07,46.3,neutral,low,50.0,40,50,42.9,3
99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,MOON,Moon Moon,2025-10-07,41.1,neutral,medium,18.8,50,50,85.7,6
2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,T-2049,Token 2049,2025-10-07,41.0,neutral,medium,18.6,50,50,85.7,6
