address,symbol,name,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,date,missing_streak
DHSZ2zaQ2mNtTJFXH3iNUG1oWXr6ZFj4TyfqVdexpump,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,nan,nan,1.826e-05,283.83,24436.1,18266.0,dexscreener,ok,2025-09-28,0
7Rw4dgDuwESJEcCAbhxAghLcmkXM5QotupWq8PPc1UeC,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
BMdxkiQTJbLjZF4on3ivYDibWVCMsriEHra469zM49hV,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,nan,nan,7.776e-06,11.81,10734.17,7773.0,dexscreener,ok,2025-09-28,0
CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,nan,nan,6.166e-06,152.21,9758.47,6167.0,dexscreener,ok,2025-09-28,0
EFRoRp8wJsLy5kUZYSL95Tqp6ijVPsejWYMCn7ZjcG8L,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,nan,nan,0.003768,7388.42,539325.08,3768217.0,dexscreener,ok,2025-09-28,0
7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,nan,nan,0.01528,12797.21,1959646.06,76409647.0,dexscreener,ok,2025-09-28,0
AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,nan,nan,0.0004327,2108.61,78771.32,309020.0,dexscreener,ok,2025-09-28,0
6k1rwsNMBwbRJrWck3sEVCjn4MvF9ty8A6iSGfxjxREV,nan,nan,5.216e-06,1177.07,4591.41,5216.0,dexscreener,ok,2025-09-28,0
8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,nan,nan,7.762e-06,2547.84,11553.06,7759.0,dexscreener,ok,2025-09-28,0
GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,nan,nan,4.95e-05,8327.97,29049.01,49503.0,dexscreener,ok,2025-09-28,0
2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,nan,nan,2.98e-05,891.04,21340.56,29808.0,dexscreener,ok,2025-09-28,0
9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,nan,nan,2.644e-05,1869.97,23493.4,26442.0,dexscreener,ok,2025-09-28,0
LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,nan,nan,1.245e-05,7554.03,15005.0,12455.0,dexscreener,ok,2025-09-28,0
B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,nan,nan,0.001994,35091.84,190581.55,1994992.0,dexscreener,ok,2025-09-28,0
GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,nan,nan,0.00137,69006.15,176169.18,1369922.0,dexscreener,ok,2025-09-28,0
CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,nan,nan,0.0004403,93739.56,120150.22,440268.0,dexscreener,ok,2025-09-28,0
DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,nan,nan,0.001543,792802.78,205059.58,1199692.0,dexscreener,ok,2025-09-28,0
