address,symbol,name,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,_symbol,_name,data_status,date,missing_streak
So11111111111111111111111111111111111111112,wSOL,Wrapped SOL,208.0059,143937363.5,53628766.63,0.0,dexscreener,SOL,Wrapped SOL,ok,2025-09-29,0
DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,nan,nan,0.001557,539500.13,211069.92,1210474.0,dexscreener,ELIZABETH,Just Elizabeth Cat,ok,2025-09-29,0
A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,nan,nan,0.002732,312857.54,492384.16,2731131.0,dexscreener,XBT,XBT,ok,2025-09-29,0
3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,nan,nan,0.0005739,173195.88,152151.04,573851.0,dexscreener,USDUT,unstable tether,ok,2025-09-29,0
CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,nan,nan,0.0004066,160096.31,118202.66,406644.0,dexscreener,AI4,AI⁴,ok,2025-09-29,0
CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,nan,nan,0.0004851,142894.43,138566.22,485164.0,dexscreener,CHARLIE,RIP CHARLIE KIRK,ok,2025-09-29,0
GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,nan,nan,0.001312,141099.48,176282.53,1311940.0,dexscreener,RAGEGUY,Rage Guy,ok,2025-09-29,0
2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,nan,nan,0.001815,128321.97,201719.58,1815496.0,dexscreener,T-2049,Token 2049,ok,2025-09-29,0
BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,nan,nan,0.0005339,95971.5,103190.58,532134.0,dexscreener,CRND,Crundle,ok,2025-09-29,0
FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,nan,nan,0.0009149,85218.3,200026.47,914968.0,dexscreener,FARTLESS,FARTLESS COIN,ok,2025-09-29,0
B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,nan,nan,0.001795,83450.66,184615.02,1795685.0,dexscreener,DREAM,Dreamsync,ok,2025-09-29,0
2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,nan,nan,0.0001143,49400.95,55914.66,114196.0,dexscreener,67,67coin,ok,2025-09-29,0
44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,nan,nan,0.00019,45998.17,54055.75,190079.0,dexscreener,1nu,1nu,ok,2025-09-29,0
7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,nan,nan,0.0003005,35222.7,70760.28,300452.0,dexscreener,early,not wrong just early,ok,2025-09-29,0
7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,nan,nan,0.01559,31933.39,2023203.66,77971114.0,dexscreener,LION,Loaded Lions,ok,2025-09-29,0
5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,nan,nan,9.316e-05,28827.74,45246.08,93160.0,dexscreener,Useless,Useless Coin,ok,2025-09-29,0
