date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak
2025-10-01,wSOL,Wrapped SOL,So11111111111111111111111111111111111111112,217.67,270563366.83,55374839.99,0.0,dexscreener,ok,0
2025-10-01,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,0.0001641,979398.59,83232.7,164163.0,dexscreener,ok,0
2025-10-01,ELIZABETH,Just Elizabeth Cat,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,0.0016,383498.04,221116.95,1244218.0,dexscreener,ok,0
2025-10-01,XBT,XBT,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,0.00269,271917.29,501076.47,2688607.0,dexscreener,ok,0
2025-10-01,AI4,AI⁴,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,0.0004245,185563.84,124317.64,424479.0,dexscreener,ok,0
2025-10-01,1nu,1nu,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,0.0001816,151000.53,53430.12,181694.0,dexscreener,ok,0
2025-10-01,FARTLESS,FARTLESS COIN,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,0.0008823,122958.31,201193.35,882390.0,dexscreener,ok,0
2025-10-01,DREAM,Dreamsync,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.001829,103303.9,190853.78,1829689.0,dexscreener,ok,0
2025-10-01,BAR,BullArena,Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,0.0002214,90657.73,58993.73,221404.0,dexscreener,ok,0
2025-10-01,LION,Loaded Lions,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,0.01623,82202.0,2110607.3,81173576.0,dexscreener,ok,0
2025-10-01,RAGEGUY,Rage Guy,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,0.00111,79747.96,166013.41,1109964.0,dexscreener,ok,0
2025-10-01,RUECAT,Rue Cat,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,0.0006933,66691.26,104294.04,495120.0,dexscreener,ok,0
2025-10-01,CHARLIE,RIP CHARLIE KIRK,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,0.0004622,65937.16,138661.32,462204.0,dexscreener,ok,0
2025-10-01,CRND,Crundle,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,0.0002218,60840.08,74592.93,221086.0,dexscreener,ok,0
2025-10-01,USDUT,unstable tether,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,0.0005284,52987.33,149501.0,528322.0,dexscreener,ok,0
2025-10-01,67,67coin,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,0.000112,41053.76,56740.29,111863.0,dexscreener,ok,0
2025-10-01,early,not wrong just early,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,0.0003025,39570.21,72811.57,302512.0,dexscreener,ok,0
2025-10-01,gib,gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,0.0004963,35912.32,180047.48,496394.0,dexscreener,ok,0
2025-10-01,Useless,Useless Coin,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,6.568e-05,18606.34,38871.85,65683.0,dexscreener,ok,0
2025-10-01,walkusa,WALKING ACROSS AMERICA,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,7.773e-05,17207.7,38711.88,77734.0,dexscreener,ok,0
2025-10-01,VIBECODER,Vibe Coding Meta,7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,0.0001341,17176.84,53854.17,130146.0,dexscreener,ok,0
2025-10-01,1Bull,One bull run to change your life,EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,6.069e-05,11406.34,31664.06,60689.0,dexscreener,ok,0
2025-10-01,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,2.691e-05,10622.28,22208.56,26918.0,dexscreener,ok,0
2025-10-01,USEFUL,USEFUL COIN,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,0.000151,9129.09,86166.2,151047.0,dexscreener,ok,0
2025-10-01,HAROLD,Harold,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.003962,7551.98,576259.42,3962041.0,dexscreener,ok,0
2025-10-01,APOLLO,Apollo AI,6k1rwsNMBwbRJrWck3sEVCjn4MvF9ty8A6iSGfxjxREV,2.048e-05,6314.15,9452.41,20483.0,dexscreener,ok,0
2025-10-01,YAO,YAO MING,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,0.0001337,5980.47,59068.31,133707.0,dexscreener,ok,0
2025-10-01,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,2.067e-05,4616.94,18886.56,20468.0,dexscreener,ok,0
2025-10-01,pibble,pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,1.243e-05,3906.88,12272.48,12434.0,dexscreener,ok,0
2025-10-01,1dog,1 dog can change your life,8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,1.299e-05,2697.91,15181.74,12959.0,dexscreener,ok,0
2025-10-01,FARTWORM,FARTWORM,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,2.155e-05,2575.06,19038.67,21443.0,dexscreener,ok,0
2025-10-01,1,1 pill can change your life,8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,7.458e-06,2456.3,11616.2,7455.0,dexscreener,ok,0
2025-10-01,IDIOT,IDIOT,GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,2.909e-05,2431.43,23502.49,29094.0,dexscreener,ok,0
2025-10-01,SOL,Solana,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,1646.86,2306.05,14826.8,26596804.0,dexscreener,ok,0
2025-10-01,RWA,Real World Asses,7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,9.505e-08,2279.84,9007.81,6559.0,dexscreener,ok,0
2025-10-01,$CrepSol,Crepe on Solana,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,2.96e-05,1749.36,21416.84,29604.0,dexscreener,ok,0
2025-10-01,MOCHI,MOCHI CULT,4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,1.671e-05,1592.82,24287.67,16716.0,dexscreener,ok,0
2025-10-01,MOON,Moon Moon,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,1.036e-05,1376.56,13472.6,10363.0,dexscreener,ok,0
2025-10-01,AUSBAGWORK,AUSSIE BAG WORKERS,9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,2.326e-05,1093.82,23013.57,23265.0,dexscreener,ok,0
2025-10-01,DARE,DareCoin,4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,8.955e-06,649.3,13436.27,8866.0,dexscreener,ok,0
2025-10-01,1,1 pill can change your life,qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,4.227e-06,604.74,7974.0,4226.0,dexscreener,ok,0
2025-10-01,obvious,in hindsight,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,5.202e-06,319.86,8822.52,5199.0,dexscreener,ok,0
2025-10-01,Pochita,Pochita,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,5.591e-06,150.87,9578.73,5591.0,dexscreener,ok,0
2025-10-01,Noxi,Noxi Labs AI,F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,5.842e-06,149.35,9400.96,5840.0,dexscreener,ok,0
2025-10-01,retail,retail,6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,4.168e-06,134.48,8042.59,4164.0,dexscreener,ok,0
2025-10-01,HOODIE,Hoodie,JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,0.0003127,122.02,68736.86,312775.0,dexscreener,ok,0
2025-10-01,Bagwork,African Bagwork,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,4.761e-06,114.4,8930.35,4732.0,dexscreener,ok,0
2025-10-01,PILL,PumpFun Pill,8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,7.415e-06,97.42,10687.28,7411.0,dexscreener,ok,0
2025-10-01,1% Club,The 1% Club,HpQUbEAcHrhwSJyYfXLNZvJz9SBksRJJStn86gFdbonk,4.335e-06,90.73,6911.56,4336.0,dexscreener,ok,0
2025-10-01,grandma,101 Year Old Pumpfun Livestreamr,4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,1.323e-05,54.86,16735.19,13005.0,dexscreener,ok,0
