date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak
2025-09-30,wSOL,Wrapped SOL,So11111111111111111111111111111111111111112,205.54,220621620.88,53450004.26,0.0,dexscreener,ok,0
2025-09-30,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,0.0002445,1577455.76,90527.12,244569.0,dexscreener,ok,0
2025-09-30,ELIZABETH,Just Elizabeth Cat,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,0.001522,672243.31,209028.77,1183573.0,dexscreener,ok,0
2025-09-30,XBT,XBT,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,0.002358,294308.51,455405.35,2357651.0,dexscreener,ok,0
2025-09-30,AI4,AI⁴,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,0.0003619,177311.65,111241.9,361918.0,dexscreener,ok,0
2025-09-30,1nu,1nu,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,0.0002178,157498.33,58344.72,217892.0,dexscreener,ok,0
2025-09-30,CHARLIE,RIP CHARLIE KIRK,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,0.0004911,111075.89,138767.97,491098.0,dexscreener,ok,0
2025-09-30,RAGEGUY,Rage Guy,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,0.001056,93329.1,157467.53,1056417.0,dexscreener,ok,0
2025-09-30,gib,gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,0.0004409,75785.72,164781.49,440902.0,dexscreener,ok,0
2025-09-30,LION,Loaded Lions,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,0.01559,74326.74,2010742.29,77955060.0,dexscreener,ok,0
2025-09-30,BAR,BullArena,Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,0.0002998,73121.07,66719.75,299835.0,dexscreener,ok,0
2025-09-30,DREAM,Dreamsync,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.001699,69948.89,178607.9,1699917.0,dexscreener,ok,0
2025-09-30,67,67coin,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,9.69e-05,68915.93,51301.15,96744.0,dexscreener,ok,0
2025-09-30,CRND,Crundle,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,0.0002433,65784.78,74636.28,242486.0,dexscreener,ok,0
2025-09-30,FARTLESS,FARTLESS COIN,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,0.0007563,61506.4,180842.22,756356.0,dexscreener,ok,0
2025-09-30,USDUT,unstable tether,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,0.0005225,57349.74,144356.86,522485.0,dexscreener,ok,0
2025-09-30,early,not wrong just early,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,0.0002618,45059.89,65745.16,261762.0,dexscreener,ok,0
2025-09-30,Useless,Useless Coin,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,6.77e-05,31271.77,38367.59,67704.0,dexscreener,ok,0
2025-09-30,RUECAT,Rue Cat,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,0.0007378,20667.76,104399.53,526927.0,dexscreener,ok,0
2025-09-30,walkusa,WALKING ACROSS AMERICA,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,7.874e-05,20454.98,38005.01,78743.0,dexscreener,ok,0
2025-09-30,VIBECODER,Vibe Coding Meta,7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,0.0001206,16750.78,49693.8,117045.0,dexscreener,ok,0
2025-09-30,pibble,pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,1.437e-05,16477.22,13196.2,14372.0,dexscreener,ok,0
2025-09-30,HAROLD,Harold,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.003797,13713.17,548271.71,3797017.0,dexscreener,ok,0
2025-09-30,1Bull,One bull run to change your life,EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,4.747e-05,12575.0,27256.53,47475.0,dexscreener,ok,0
2025-09-30,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,3.337e-05,10842.96,24438.0,33370.0,dexscreener,ok,0
2025-09-30,USEFUL,USEFUL COIN,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,0.0001493,9702.21,83263.89,149321.0,dexscreener,ok,0
2025-09-30,IDIOT,IDIOT,GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,3.152e-05,9321.28,23774.39,31526.0,dexscreener,ok,0
2025-09-30,YAO,YAO MING,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,0.0001472,8693.7,60220.35,147200.0,dexscreener,ok,0
2025-09-30,APOLLO,Apollo AI,6k1rwsNMBwbRJrWck3sEVCjn4MvF9ty8A6iSGfxjxREV,2.131e-05,4445.64,9380.47,21311.0,dexscreener,ok,0
2025-09-30,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,2.306e-05,3406.83,19506.69,22827.0,dexscreener,ok,0
2025-09-30,1dog,1 dog can change your life,8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,1.24e-05,2948.43,14422.61,12365.0,dexscreener,ok,0
2025-09-30,$CrepSol,Crepe on Solana,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,3.121e-05,2756.32,21377.62,31208.0,dexscreener,ok,0
2025-09-30,RWA,Real World Asses,7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,8.986e-08,2397.78,8765.9,6200.0,dexscreener,ok,0
2025-09-30,FARTWORM,FARTWORM,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,2.04e-05,1968.83,18056.33,20296.0,dexscreener,ok,0
2025-09-30,AUSBAGWORK,AUSSIE BAG WORKERS,9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,2.214e-05,1780.36,21831.69,22144.0,dexscreener,ok,0
2025-09-30,MOCHI,MOCHI CULT,4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,1.54e-05,1083.81,22742.92,15407.0,dexscreener,ok,0
2025-09-30,1,1 pill can change your life,8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,8.994e-06,1049.41,12609.91,8990.0,dexscreener,ok,0
2025-09-30,MOON,Moon Moon,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,8.397e-06,779.22,11772.73,8398.0,dexscreener,ok,0
2025-09-30,1,1 pill can change your life,qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,4.179e-06,620.41,7827.86,4179.0,dexscreener,ok,0
2025-09-30,7,7 Coin,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,8.861e-06,486.76,11774.15,8858.0,dexscreener,ok,0
2025-09-30,Bagwork,African Bagwork,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,5.012e-06,401.86,9172.39,4981.0,dexscreener,ok,0
2025-09-30,grandma,101 Year Old Pumpfun Livestreamr,4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,1.253e-05,331.62,15828.01,12318.0,dexscreener,ok,0
2025-09-30,SOL,Solana,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,1497.81,327.36,20507.6,24189763.0,dexscreener,ok,0
2025-09-30,obvious,in hindsight,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,5.306e-06,192.74,8866.73,5304.0,dexscreener,ok,0
2025-09-30,Pochita,Pochita,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,5.661e-06,166.07,9420.92,5662.0,dexscreener,ok,0
2025-09-30,Hosico,Hosico Cat,HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,4.996e-06,124.42,8536.9,4993.0,dexscreener,ok,0
2025-09-30,HOODIE,Hoodie,JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,0.0002925,109.8,65114.66,292506.0,dexscreener,ok,0
2025-09-30,PILL,PumpFun Pill,8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,7.335e-06,85.35,10524.01,7331.0,dexscreener,ok,0
2025-09-30,1% Club,The 1% Club,HpQUbEAcHrhwSJyYfXLNZvJz9SBksRJJStn86gFdbonk,4.566e-06,66.72,7092.64,4567.0,dexscreener,ok,0
2025-09-30,FLY,Nexa,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,0.01323,56.21,7739.75,13237.0,dexscreener,ok,0
